StartTime: 2016-05-10 20:59:01.990
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
77.932	-0.0215	-0.2651	0.9521	0.1831	2.8687	-0.6714	-15.5676	0.9119	50.3119	46.4900	151	121	63 
77.932	-0.0229	-0.2661	0.9497	0.0000	2.0752	-0.6714	-15.5676	0.9448	50.2679	46.4900	148	118	56 
77.959	-0.0244	-0.2656	0.9458	-0.0610	0.8545	-0.6104	-15.5676	0.9613	50.2350	46.5000	148	118	56 
77.961	-0.0220	-0.2666	0.9497	-0.0610	-0.2441	-0.6714	-15.5731	0.9613	50.1910	46.4900	136	110	58 
77.984	-0.0166	-0.2656	0.9487	-0.0610	-1.3428	-0.6104	-15.5731	0.9503	50.1746	46.4900	148	110	56 
77.987	-0.0161	-0.2632	0.9512	0.0610	-1.2207	-0.3662	-15.5731	0.9393	50.1910	46.4900	148	110	56 
77.987	-0.0146	-0.2612	0.9512	0.1221	-0.6714	-0.2441	-15.5676	0.9283	50.2295	46.4800	157	111	55 
78.064	-0.0127	-0.2607	0.9526	0.0610	0.0000	-0.1221	-15.5621	0.9229	50.2679	46.4800	157	111	55 
78.067	-0.0156	-0.2622	0.9521	-0.0610	0.4883	0.1831	-15.5621	0.9283	50.2350	46.4700	145	115	65 
78.084	-0.0151	-0.2627	0.9541	-0.1831	0.3052	0.3662	-15.5566	0.9338	50.2295	46.4800	153	113	61 
78.085	-0.0171	-0.2646	0.9517	-0.3052	-0.2441	0.4883	-15.5621	0.9338	50.2460	46.4800	153	113	61 
78.085	-0.0166	-0.2656	0.9521	-0.4272	-0.9155	0.5493	-15.5621	0.9229	50.2515	46.4800	153	115	63 
78.085	-0.0122	-0.2666	0.9517	-0.3662	-1.7090	0.4272	-15.5676	0.9064	50.2679	46.5000	151	111	55 
78.086	-0.0112	-0.2656	0.9512	-0.3052	-1.6479	0.3052	-15.5731	0.8899	50.2954	46.5100	151	111	55 
