StartTime: 2016-09-08 17:42:05.959
Time(s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	q0	q1	q2	q3 
33.025	2.0050	0.3406	88.7640	46.1100	0.71460	0.01041	0.01437	0.69928 
33.025	1.9995	0.3406	88.7640	46.1200	0.71460	0.01041	0.01434	0.69928 
33.041	1.9995	0.3406	88.7640	46.1200	0.71460	0.01038	0.01437	0.69928 
33.056	2.0050	0.3406	88.7640	46.1200	0.71460	0.01038	0.01437	0.69928 
33.072	1.9995	0.3461	88.7640	46.1100	0.71460	0.01038	0.01437	0.69928 
33.072	1.9995	0.3461	88.7640	46.1300	0.71460	0.01035	0.01440	0.69928 
33.088	2.0050	0.3461	88.7640	46.1200	0.71460	0.01035	0.01440	0.69928 
33.103	1.9995	0.3461	88.7640	46.1200	0.71460	0.01035	0.01437	0.69928 
33.119	1.9995	0.3461	88.7640	46.1200	0.71460	0.01035	0.01437	0.69928 
33.134	1.9995	0.3461	88.7640	46.1300	0.71460	0.01035	0.01437	0.69928 
33.134	1.9995	0.3461	88.7640	46.1300	0.71460	0.01035	0.01437	0.69928 
33.150	1.9995	0.3461	88.7640	46.1300	0.71460	0.01035	0.01437	0.69928 
33.166	1.9995	0.3461	88.7640	46.1300	0.71460	0.01031	0.01437	0.69928 
33.166	1.9995	0.3516	88.7640	46.1200	0.71460	0.01031	0.01440	0.69928 
33.181	1.9995	0.3516	88.7640	46.1000	0.71460	0.01031	0.01440	0.69928 
33.212	1.9995	0.3516	88.7640	46.1000	0.71460	0.01031	0.01440	0.69928 
33.212	1.9995	0.3516	88.7640	46.1200	0.71460	0.01031	0.01440	0.69928 
33.228	1.9995	0.3516	88.7640	46.1100	0.71460	0.01031	0.01443	0.69928 
33.228	1.9995	0.3516	88.7640	46.1200	0.71460	0.01031	0.01440	0.69928 
33.228	1.9995	0.3461	88.7640	46.1100	0.71460	0.01031	0.01437	0.69928 
33.244	1.9995	0.3461	88.7640	46.1100	0.71460	0.01035	0.01437	0.69928 
33.259	1.9995	0.3461	88.7640	46.1200	0.71460	0.01035	0.01437	0.69928 
33.275	1.9940	0.3461	88.7640	46.1200	0.71460	0.01031	0.01434	0.69928 
33.275	1.9940	0.3461	88.7640	46.1200	0.71460	0.01031	0.01434	0.69928 
33.290	1.9940	0.3461	88.7640	46.1300	0.71460	0.01031	0.01434	0.69928 
33.290	1.9940	0.3406	88.7640	46.1200	0.71460	0.01035	0.01431	0.69928 
33.290	1.9940	0.3406	88.7640	46.1200	0.71460	0.01035	0.01431	0.69928 
33.306	1.9940	0.3461	88.7640	46.1400	0.71460	0.01031	0.01434	0.69928 
33.322	1.9940	0.3461	88.7640	46.1300	0.71460	0.01031	0.01431	0.69928 
33.322	1.9885	0.3461	88.7640	46.1100	0.71460	0.01028	0.01431	0.69928 
33.337	1.9885	0.3461	88.7640	46.1200	0.71460	0.01028	0.01431	0.69928 
33.353	1.9885	0.3461	88.7640	46.1300	0.71460	0.01028	0.01431	0.69928 
33.353	1.9885	0.3406	88.7640	46.1200	0.71460	0.01031	0.01428	0.69928 
33.368	1.9885	0.3406	88.7640	46.1200	0.71460	0.01031	0.01428	0.69928 
33.368	1.9885	0.3406	88.7640	46.1100	0.71460	0.01031	0.01428	0.69928 
33.400	1.9885	0.3406	88.7640	46.1100	0.71460	0.01028	0.01428	0.69928 
33.415	1.9885	0.3406	88.7640	46.1100	0.71460	0.01028	0.01428	0.69928 
33.415	1.9885	0.3406	88.7640	46.1200	0.71460	0.01028	0.01428	0.69928 
33.415	1.9885	0.3406	88.7640	46.1000	0.71460	0.01028	0.01428	0.69928 
33.431	1.9885	0.3406	88.7640	46.1000	0.71460	0.01031	0.01428	0.69928 
33.431	1.9885	0.3406	88.7640	46.1100	0.71460	0.01031	0.01425	0.69928 
33.446	1.9885	0.3406	88.7640	46.1200	0.71460	0.01028	0.01425	0.69928 
33.462	1.9830	0.3406	88.7640	46.1300	0.71460	0.01028	0.01425	0.69928 
33.478	1.9830	0.3406	88.7640	46.1400	0.71460	0.01028	0.01425	0.69928 
33.478	1.9830	0.3406	88.7640	46.1300	0.71460	0.01028	0.01422	0.69928 
33.478	1.9830	0.3406	88.7640	46.1300	0.71460	0.01028	0.01422	0.69928 
33.493	1.9830	0.3351	88.7640	46.1300	0.71460	0.01028	0.01422	0.69928 
33.509	1.9830	0.3351	88.7640	46.1200	0.71460	0.01031	0.01422	0.69928 
33.524	1.9830	0.3351	88.7640	46.1200	0.71460	0.01031	0.01425	0.69928 
33.524	1.9885	0.3351	88.7640	46.1300	0.71460	0.01031	0.01425	0.69928 
