StartTime: 2017-04-24 18:29:45.964
Time(s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	D0	D1	D2	D3 
60.805	2.4774	23.2031	-31.2286	2407	2149	1967	2197 
60.805	2.4774	23.2306	-31.2231	2417	2154	1970	2198 
60.828	2.4884	23.2581	-31.2122	2420	2112	1989	2187 
60.828	2.4939	23.2800	-31.2067	2419	2113	1994	2186 
60.839	2.4939	23.3020	-31.2067	2430	2113	1993	2210 
60.884	2.4884	23.3185	-31.2122	2413	2107	1998	2212 
60.894	2.4939	23.3295	-31.2177	2418	2112	1976	2209 
60.894	2.5049	23.3350	-31.2231	2420	2112	1977	2210 
60.894	2.5159	23.3405	-31.2231	2416	2107	1986	2208 
60.894	2.5269	23.3350	-31.2231	2420	2086	1977	2208 
60.895	2.5269	23.3350	-31.2231	2423	2087	1978	2200 
60.905	2.5214	23.3295	-31.2231	2420	2091	1981	2200 
60.916	2.5214	23.3350	-31.2286	2421	2086	1969	2195 
60.927	2.5214	23.3405	-31.2341	2423	2091	1968	2192 
60.938	2.5323	23.3459	-31.2341	2424	2089	1981	2204 
60.948	2.5433	23.3514	-31.2341	2421	2089	1980	2199 
60.959	2.5543	23.3459	-31.2286	2415	2084	1975	2197 
60.959	2.5598	23.3459	-31.2177	2421	2087	1979	2199 
60.976	2.5598	23.3405	-31.2177	2415	2085	1979	2199 
60.987	2.5488	23.3350	-31.2177	2422	2088	1980	2199 
60.999	2.5433	23.3350	-31.2177	2415	2082	1975	2199 
60.999	2.5323	23.3350	-31.2231	2422	2087	1979	2202 
61.015	2.5433	23.3405	-31.2231	2423	2085	1967	2195 
61.026	2.5488	23.3405	-31.2231	2422	2090	1973	2199 
61.037	2.5543	23.3350	-31.2177	2421	2084	1971	2196 
61.055	2.5543	23.3350	-31.2177	2418	2156	1969	2192 
61.055	2.5543	23.3350	-31.2231	2423	2154	1967	2195 
61.120	2.5488	23.3350	-31.2231	2424	2158	1970	2195 
61.131	2.5488	23.3459	-31.2231	2422	2158	2011	2185 
61.131	2.5543	23.3569	-31.2231	2418	2108	2000	2189 
61.131	2.5598	23.3679	-31.2231	2407	2108	2001	2186 
61.131	2.5708	23.3789	-31.2231	2409	2108	2002	2214 
61.131	2.5708	23.3734	-31.2231	2422	2113	1979	2212 
61.131	2.5653	23.3624	-31.2231	2419	2088	1980	2212 
61.142	2.5653	23.3514	-31.2231	2412	2082	1976	2198 
61.142	2.5708	23.3405	-31.2231	2420	2086	1978	2197 
61.156	2.5763	23.3350	-31.2122	2424	2159	1969	2195 
61.178	2.5763	23.3350	-31.2067	2419	2156	2012	2188 
61.189	2.5708	23.3405	-31.2067	2421	2112	1991	2186 
61.189	2.5653	23.3459	-31.2067	2416	2106	1999	2210 
61.189	2.5653	23.3514	-31.2067	2417	2105	1989	2209 
61.202	2.5708	23.3459	-31.2012	2414	2082	1976	2198 
61.216	2.5708	23.3405	-31.2012	2424	2080	1963	2192 
61.227	2.5818	23.3405	-31.2012	2420	2154	2010	2182 
61.228	2.5983	23.3514	-31.1957	2416	2110	2000	2184 
61.243	2.6202	23.3679	-31.1847	2419	2112	1990	2210 
61.254	2.6312	23.3844	-31.1792	2415	2083	1977	2211 
61.289	2.6312	23.4064	-31.1792	2418	2084	1978	2196 
61.299	2.6202	23.4174	-31.1792	2420	2156	1970	2194 
61.300	2.6093	23.4283	-31.1792	2420	2158	2013	2188 
61.300	2.5873	23.4283	-31.1792	2404	2106	1999	2187 
